"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Armenia","ARM","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.43941055101329","2.56882977833482","-2.12991775333434","1.78758883398485","3.91411260681083","0.756174307649044","2.83405555049927","-0.927016879663365","5.41198363085679","10.2454058280205","16.341811815504","19.7148351012962","24.3073179174958","28.5448330329336","28.6006926293811","27.9049203479905","14.0475566558617","13.200763048602","11.095722762862","14.0967327906916","14.836719782724","13.2812572210453","18.4537774287326","17.8749653628263","17.1784579074194","15.553575766877","10.2814912166284","15.6557323934288","19.662447649442","22.5039109157333","18.9794181174658",
"American Samoa","ASM","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.6934384699231","24.4478955413166","20.8362688354868","18.3422311846331","20.3314818583821","21.8776580267481","20.6366487213644","20.9000876033196","21.8141658325262","21.6282007054382","20.6305973488384","21.1959079594637","20.7475781984984","21.7799799533557","21.0829405515026","21.5210839476431","20.9800119972366","21.6570804788513","21.3606234641538","21.8933397059517","23.9968094473505","21.779589193384","23.233863755159","24.2816686227821","23.8825387040325","23.5587570521884","22.6130541293527","20.6104635837291","21.6646108801241","21.504535529276","22.124677778459","23.4466601522295","25.4528244441424","25.0992677655241","23.9714937254941",
"Austria","AUT","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.8843124330231","27.6096238550131","28.9800155852079","29.4644776471493","25.7189313783995","26.5297208029823","26.929190381546","26.5517225984531","26.4443050886665","27.1527539950713","26.3436242170595","27.7247046722407","26.9635636655762","27.4632777540077","28.4260204369228","29.2970751760137","29.1359764695507","27.514758748639","26.2743599939154",
"Azerbaijan","AZE","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.28107379257661","2.10428394137451","13.8208838496976","6.61884098122421","14.4729191239702","20.0314553023675","23.6631064837271","22.7117285368742","26.031472350997","27.5425575943354","39.7042268292354","45.084483929383","45.3646366931048","49.9431219143338","40.3676355233235","44.7303156495938","46.7937666377981","44.2703391956061","42.7595444245626","40.7466530426271","28.1219050095256","22.600148416985","29.0257083432948","32.1495755297108","28.5735479704091","23.5689818278517","32.5315200551054","42.0519877557144","29.9796911520217",
"Burundi","BDI","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","10.2636614525349","8.63455617300307","14.1953662628949","8.56435892711432","14.3924917485707","8.70394136029835","11.6815140438223","5.14371048637291","12.1115764697723","5.41727512480078","6.01727840108638","3.73755729739957","6.04074612248643","0.665303318676024","2.41802868214964","1.32796784952459","1.48988364734218","4.20017348335444","6.75563090813406","6.58731771530621","15.349424460608","8.00747385296584","7.3374335656348","-1.50473095165096","9.85453402590192","3.21313433752747","1.95173031827764","10.8824792965122","3.93252302393491","-0.500763519960478","12.1264406661441","7.25758459192548","7.37870527880964","5.51780106703573","9.66164732493142","10.6492603469457","12.5667160987751","9.97861938954023","11.0070475916622",
"Belgium","BEL","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.37176774741","26.2242285590273","27.1943475754274","27.3168221709726","27.8480009657266","28.7795848698255","27.4273411880211","24.2826299570446","24.3820400904232","22.6227585513132","23.8234148499025","23.5217801711409","23.6160903932113","24.2517440637953","24.1059871833229","24.3453287893002","23.7790601854148","24.7643982805505","24.4673624740108","26.4579098332101","24.2498245006142","23.9045374132728",
"Benin","BEN","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","11.1018906357438","10.1493346314316","11.215814822317","13.6151005261159","10.5040542295679","12.6413875705939","4.17243059864788","-3.25155923539545","13.2215463107058","8.19251643322003","7.51661332851062","2.63422348633175","4.13737405141152","4.35786268267887","0.770432596116902","4.51420462512703","9.68837373776896","10.7565413906648","9.57520641648833","9.68531333749982","14.5061014735488","15.8971115379435","15.2438913301843","16.187851175992","15.7985752363326","12.4565304724931","12.6838791666836","13.278921809743","13.6132887525639","11.3663910040752","13.2568657816357","12.1909297240227","12.4648656396847","14.045190406809","12.6417407502668","11.454386753593","11.3872624211694","12.1258515407338","13.5331677387815","16.2831559488553","18.6043786814909","14.0978645778719","17.9518374129043","18.2530062399792","20.3473009920868","22.2244813370021","21.5807817594756","22.8427684293831","28.7782108840034","",
"Burkina Faso","BFA","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.85370003082686","6.313850630507","10.1689026140516","9.6044781547624","11.4920276426597","15.8387095998885","17.4955996006826","18.0633013871007","14.3904332480437","13.3891810623371","11.8593440664466","13.4507489224613","14.7702128827717","17.1079805387269","16.8441595823891","20.5564554558953","17.0493517183387","15.0331775680831","",
"Bangladesh","BGD","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","-0.840906615995765","10.0399226067437","5.70444354275005","7.07628151550278","8.33293131362959","21.1431820523845","23.5284822468067","23.0995397210434","16.2948905366178","21.5202936429301","22.7760645678478","22.6253771914959","22.1958958405226","22.3461680145497","23.0244118634705","22.5604059246532","21.9940038300746","20.901202135505","22.4171600592845","22.1461544905179","23.1387940832004","24.397478698652","25.8340547261519","26.6599568153793","27.7974576904575","28.4222904329444","30.7491764310818","30.164596698861","31.5774006681766","32.3594072568242","35.341190936004","36.3174625843949","37.3818777967604","38.97639391672","38.7817739319855","38.059489785547","40.5995794494189","39.745387710533","37.7792321968568","36.7309559824005","37.280299201621","35.2852031466044","35.4590395013776","36.3536024154867","37.1888662137067","36.051174233546","33.9494644149112","34.9043598820133",
"Bulgaria","BGR","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","29.6766313830406","36.0615428859012","34.9246889325475","33.7623177906126","35.3292770334913","31.8496838501256","32.1216716341601","30.3331663532368","32.6771869156685","28.8254941989732","14.6550166774619","17.3373913043478","12.8233366533865","6.21552980930077","8.50974885844748","25.5650180178838","9.95669382695842","21.3547194769413","25.1902299414225","16.1125803138533","13.4837988966278","15.7215407210817","17.9851534104152","16.8098317438623","16.9770153391246","16.7568534421183","14.9446791406279","9.63073336467823","14.7844881728774","19.6271963420533","21.1797538908945","22.4239659754795","22.2732594847795","23.8892099931209","23.1794279719248","22.0464311180805","23.6739648913928","25.0128233955297","23.4081555712396","24.0473551969318","20.6805255297218","20.458072264541","20.0834220862858","20.5350335854714",
